Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Poster,totalSeasons,Error,code,message,data
Stoker,2013,R,01 Mar 2013,99 min,"Drama, Thriller",Park Chan-wook,Wentworth Miller,"Mia Wasikowska, Nicole Kidman, Matthew Goode","After India's father dies, her Uncle Charlie, whom she never knew existed, comes to live with her and her unstable mother. She comes to suspect this mysterious, charming man has ulterior motives and becomes increasingly infatuated...","English, French, Italian","United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BMjI3MTM5ODI5MV5BMl5BanBnXkFtZTcwMjE1Mzc4OA@@._V1_SX300.jpg,,,,,
Unfinished Song,2012,PG-13,22 Feb 2013,90 min,"Comedy, Drama, Music",Paul Andrew Williams,Paul Andrew Williams,"Terence Stamp, Gemma Arterton, Christopher Eccleston","Grumpy pensioner Arthur honors his recently deceased wife's passion for performing by joining the unconventional local choir to which she used to belong, a process that helps him build bridges with his estranged son, James.",English,"United Kingdom, Germany",https://m.media-amazon.com/images/M/MV5BMTY5MjA5NzExM15BMl5BanBnXkFtZTcwMDE5NzU2OQ@@._V1_SX300.jpg,,,,,
Cirque du Soleil: Worlds Away,2012,PG,21 Dec 2012,91 min,Fantasy,Andrew Adamson,Andrew Adamson,"Erica Linz, Igor Zaripov, Lutz Halbhubner","A young woman is entranced by an Aerialist. When they fall into the dreamlike world of Cirque du Soleil and are separated, they travel through the different tent worlds trying to find each other.",English,United States,https://m.media-amazon.com/images/M/MV5BMTQxMjY0MzgzMl5BMl5BanBnXkFtZTcwNjc0NjQ2OA@@._V1_SX300.jpg,,,,,
The Christmas Candle,2013,PG,22 Nov 2013,100 min,"Drama, Family",John Stephenson,"Max Lucado, Candace Lee, Eric Newman","Hans Matheson, Samantha Barks, Lesley Manville","A pastor who's suffered a personal loss accepts a position in a town that believes in a Christmas miracle candle, which he strives to abolish.",English,"United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BODhlZWE3ODUtNzAyMC00Yzg0LTk0OTMtMmIyOGFmMDY1YzZiXkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_SX300.jpg,,,,,
Love Is All You Need,2012,R,06 Sep 2012,116 min,"Comedy, Drama, Romance",Susanne Bier,"Anders Thomas Jensen, Susanne Bier","Pierce Brosnan, Trine Dyrholm, Molly Blixt Egelind","A hairdresser who has lost her hair to cancer, finds out her husband is having an affair, travels to Italy for her daughter's wedding, and meets a widower who still blames the world for the loss of his wife.","English, Danish, Italian","Denmark, Sweden, Italy, France, Germany",https://m.media-amazon.com/images/M/MV5BNzYxMDQwMzIzMF5BMl5BanBnXkFtZTcwNjcxODIzOQ@@._V1_SX300.jpg,,,,,
Bhaag Milkha Bhaag,2013,Not Rated,12 Jul 2013,186 min,"Biography, Drama, Sport",Rakeysh Omprakash Mehra,Prasoon Joshi,"Farhan Akhtar, Japtej Singh, Divya Dutta","The truth behind the ascension of Milkha Singh, who was scarred by of the India-Pakistan partition.",Hindi,India,https://m.media-amazon.com/images/M/MV5BMTY1Nzg4MjcwN15BMl5BanBnXkFtZTcwOTc1NTk1OQ@@._V1_SX300.jpg,,,,,
The Attack,2012,R,29 May 2013,102 min,"Crime, Drama, Mystery",Ziad Doueiri,"Joelle Touma, Ziad Doueiri, Yasmina Khadra","Ali Suliman, Reymonde Amsallem, Evgenia Dodina",An Palestinian surgeon living in Tel Aviv discovers a dark secret about his wife in the aftermath of a suicide bombing.,"Arabic, Hebrew","Lebanon, France, Qatar, Belgium, Egypt",https://m.media-amazon.com/images/M/MV5BMTYxODIyMTQzMF5BMl5BanBnXkFtZTcwNTk4OTU0OQ@@._V1_SX300.jpg,,,,,
,,,,,,,,,,,,,,Movie not found!,,,
Race 2,2013,Not Rated,25 Jan 2013,150 min,"Action, Crime, Thriller","Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Kiran Kotrial, Shiraz Ahmed","Saif Ali Khan, Anil Kapoor, John Abraham",Ranvir treads through the world of the Indian mafia in Turkey as he looks to avenge the death of his lover and partner in crime.,Hindi,India,https://m.media-amazon.com/images/M/MV5BMjA4NzEzODQ3NV5BMl5BanBnXkFtZTcwMDMzMjg3OA@@._V1_SX300.jpg,,,,,
Flying Monsters 3D with David Attenborough,2011,TV-PG,06 May 2011,40 min,Documentary,Matthew Dyas,David Attenborough,"David Attenborough, Douglas A. Lawson","Famous naturalist David Attenborough explains the rise and fall of pterosaurs, mistakenly known as flying dinosaurs. He also flies a glider to show how big the Quetzalcoatlus, at the time the largest known pterosaur species, reall...",English,United Kingdom,https://m.media-amazon.com/images/M/MV5BMzU0MzE0MTAyN15BMl5BanBnXkFtZTcwMDIwNzkyNQ@@._V1_SX300.jpg,,,,,
The Saratov Approach,2013,PG-13,09 Oct 2013,107 min,"Action, Drama, Thriller",Garrett Batty,Garrett Batty,"Corbin Allred, Maclain Nelson, Nikita Bogolyubov",This riveting drama tells the true story of two young American Mormon missionaries held captive and brutalized for a week in a remote part of Russia.,"English, Russian","United States, Ukraine",https://m.media-amazon.com/images/M/MV5BMTQzMTA5NzYwM15BMl5BanBnXkFtZTgwMDUyODYyMDE@._V1_SX300.jpg,,,,,
"Bless Me, Ultima",2012,PG-13,17 Sep 2012,106 min,"Biography, Drama, History",Carl Franklin,"Rudolfo Anaya, Carl Franklin","Luke Ganalon, Joseph A. Garcia, Miriam Colon","A drama set in New Mexico during WWII, centered on the relationship between a young man and an elderly medicine woman who helps him contend with the battle between good and evil that rages in his village.","English, Spanish",United States,https://m.media-amazon.com/images/M/MV5BMTc4MzM0NDkxNl5BMl5BanBnXkFtZTcwNDUwMzk0OA@@._V1_SX300.jpg,,,,,
Beasts of the Southern Wild,2012,PG-13,05 Jul 2012,93 min,"Adventure, Drama, Fantasy",Benh Zeitlin,"Lucy Alibar, Benh Zeitlin","Quvenzhané Wallis, Dwight Henry, Levy Easterly","Faced with both her hot-tempered father's fading health and melting ice-caps that flood her ramshackle bayou community and unleash ancient aurochs, six-year-old Hushpuppy must learn the ways of courage and love.",English,United States,https://m.media-amazon.com/images/M/MV5BMTgxNDM5MDM1Ml5BMl5BanBnXkFtZTcwOTYwNzQ3Nw@@._V1_SX300.jpg,,,,,
Kon-Tiki,2012,PG-13,26 Apr 2013,118 min,"Action, Adventure, Biography","Joachim Rønning, Espen Sandberg",Petter Skavlan,"Pål Sverre Hagen, Anders Baasmo, Gustaf Skarsgård","Legendary explorer Thor Heyerdahl's epic 4,300-mile crossing of the Pacific on a balsawood raft in 1947, in an effort to prove that it was possible for South Americans to settle in Polynesia in pre-Columbian times.","Danish, German, Norwegian, English, French, Swedish, Spanish","United Kingdom, Norway, Denmark, Germany, Sweden",https://m.media-amazon.com/images/M/MV5BMjMxOTU2NzQxMF5BMl5BanBnXkFtZTcwODIwODY0OA@@._V1_SX300.jpg,,,,,
,,,,,,,,,,,,,,Movie not found!,,,
Disconnect,2012,R,05 Jul 2013,115 min,"Drama, Thriller",Henry Alex Rubin,Andrew Stern,"Jason Bateman, Jonah Bobo, Haley Ramm",A drama centered on a group of people searching for human connections in today's wired world.,English,United States,https://m.media-amazon.com/images/M/MV5BMjA2MTEzMDkyOF5BMl5BanBnXkFtZTcwNzc4NTgxOQ@@._V1_SX300.jpg,,,,,
Girl Most Likely,2012,PG-13,18 Jul 2013,103 min,Comedy,"Shari Springer Berman, Robert Pulcini",Michelle Morgan,"Kristen Wiig, Annette Bening, Matt Dillon",A failed New York playwright awkwardly navigates the transition from Next Big Thing to Last Year's News.,"English, French, Romanian, Dutch, Mandarin",United States,https://m.media-amazon.com/images/M/MV5BMTEyMDgyNDYwNjReQTJeQWpwZ15BbWU3MDc1MDQwNjk@._V1_SX300.jpg,,,,,
I'm So Excited!,2013,R,08 Mar 2013,90 min,"Comedy, Musical",Pedro Almodóvar,Pedro Almodóvar,"Javier Cámara, Pepa Charro, Cecilia Roth","When it appears as though the end is in sight, the pilots, flight crew, and passengers of a plane heading to Mexico City look to forget the anguish of the moment and face the greatest danger, which we carry within ourselves.",Spanish,Spain,https://m.media-amazon.com/images/M/MV5BMTYxODgwNDQyOF5BMl5BanBnXkFtZTcwMzM2NjkwOQ@@._V1_SX300.jpg,,,,,
Stories We Tell,2012,PG-13,17 Jan 2013,108 min,Documentary,Sarah Polley,"Sarah Polley, Michael Polley","Michael Polley, John Buchan, Mark Polley",A film that excavates layers of myth and memory to find the elusive truth at the core of a family of storytellers.,English,Canada,https://m.media-amazon.com/images/M/MV5BMTg3MDU2NjI3N15BMl5BanBnXkFtZTcwMjYwMzYyOQ@@._V1_SX300.jpg,,,,,
Wadjda,2012,PG,16 May 2013,98 min,"Comedy, Drama",Haifaa Al-Mansour,Haifaa Al-Mansour,"Waad Mohammed, Reem Abdullah, Abdullrahman Al Gohani",An enterprising Saudi girl signs on for her school's Koran recitation competition as a way to raise the remaining funds she needs in order to buy the green bicycle that has captured her interest.,Arabic,"Saudi Arabia, Netherlands, Germany, Jordan, United Arab Emirates, United States",https://m.media-amazon.com/images/M/MV5BMjI4MzMyNzM2Ml5BMl5BanBnXkFtZTgwNDQ5MDgwMDE@._V1_SX300.jpg,,,,,
,,,,,,,,,,,,,,Movie not found!,,,
The Ultimate Life,2013,PG,15 Aug 2018,105 min,"Drama, Romance",Michael Landon Jr.,"Brian Bird, Cheryl McKay, Lisa G. Shillingburg","Logan Bartholomew, Peter Fonda, Ali Hillis",A billionaire with questionable priorities re-examines his life after discovering his grandfather's journal.,English,United States,https://m.media-amazon.com/images/M/MV5BMjI5ODU3NjQyNl5BMl5BanBnXkFtZTcwNDA2NTU3OQ@@._V1_SX300.jpg,,,,,
The Kings of Summer,2013,R,23 Aug 2013,95 min,"Adventure, Comedy, Drama",Jordan Vogt-Roberts,Chris Galletta,"Nick Robinson, Gabriel Basso, Moises Arias","Three teenage friends, in the ultimate act of independence, decide to spend their summer building a house in the woods and living off the land.","English, Spanish",United States,https://m.media-amazon.com/images/M/MV5BMTc3ODA1NTI0MV5BMl5BanBnXkFtZTcwOTE4OTUzOQ@@._V1_SX300.jpg,,,,,
Flight,2012,R,02 Nov 2012,138 min,"Drama, Thriller",Robert Zemeckis,John Gatins,"Denzel Washington, Nadine Velazquez, Don Cheadle","An airline pilot saves almost all his passengers on his malfunctioning airliner which eventually crashed, but an investigation into the accident reveals something troubling.",English,"United States, United Arab Emirates",https://m.media-amazon.com/images/M/MV5BMTUxMjI1OTMxNl5BMl5BanBnXkFtZTcwNjc3NTY1OA@@._V1_SX300.jpg,,,,,
Anna Karenina,2012,R,07 Sep 2012,129 min,"Drama, Romance",Joe Wright,"Tom Stoppard, Lev Tolstoy","Keira Knightley, Jude Law, Aaron Taylor-Johnson","In late-19th-century Russian high society, St. Petersburg aristocrat Anna Karenina enters into a life-changing affair with the dashing Count Alexei Vronsky.",English,"United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BMTU0NDgxNDg0NV5BMl5BanBnXkFtZTcwMjE4MzkwOA@@._V1_SX300.jpg,,,,,
Rust,2018,N/A,30 Aug 2018,100 min,Drama,Aly Muritiba,"Aly Muritiba, Jessica Candal, Marisa Merlo","Giovanni de Lorenzi, Tifanny Dopke, Enrique Diaz","Tati and Renet were already trading pics, videos and music by their cell phones, and on the last school trip they started making eye contact. However, what could be the beginning of a love story, turns to an end.",Portuguese,Brazil,https://m.media-amazon.com/images/M/MV5BMmI3NTA3MDEtOTMyOC00YjE0LWI3YTUtZDVjMWI1OGFhNmY3XkEyXkFqcGdeQXVyOTU3ODk4MQ@@._V1_SX300.jpg,,,,,
Inequality for All,2013,PG,24 Apr 2015,89 min,Documentary,Jacob Kornbluth,N/A,"Robert Reich, Lily Tomlin, Candice Bergen",A documentary that follows former U.S. Labor Secretary Robert Reich as he looks to raise awareness of the country's widening economic gap.,English,United States,https://m.media-amazon.com/images/M/MV5BMTY5NjUwNjU1OF5BMl5BanBnXkFtZTgwOTI2NjEwMDE@._V1_SX300.jpg,,,,,
Here Comes the Boom,2012,PG,12 Oct 2012,105 min,"Action, Comedy, Sport",Frank Coraci,"Allan Loeb, Kevin James, Rock Reuben","Kevin James, Salma Hayek, Henry Winkler",A high-school biology teacher looks to become a successful mixed martial arts fighter in an effort to raise money to prevent extracurricular activities from being axed at his cash-strapped school.,"English, Dutch",United States,https://m.media-amazon.com/images/M/MV5BMTUxMzEzNDQ0Nl5BMl5BanBnXkFtZTcwMDI2NTY1OA@@._V1_SX300.jpg,,,,,
The Lords of Salem,2012,R,18 Apr 2013,101 min,"Horror, Thriller",Rob Zombie,Rob Zombie,"Sheri Moon Zombie, Meg Foster, Bruce Davison","Heidi, a radio DJ, is sent a box containing a record - a ""gift from the Lords"". The sounds within the grooves trigger flashbacks of her town's violent past. Is Heidi going mad, or are the Lords back to take revenge on Salem, Massa...",English,"Canada, United States",https://m.media-amazon.com/images/M/MV5BMjA2NTc5Njc4MV5BMl5BanBnXkFtZTcwNTYzMTcwOQ@@._V1_SX300.jpg,,,,,
Romeo,2007,N/A,N/A,N/A,Comedy,Rajasenan,"Meccartin, Raffi","Asokan, Rema Devi C., Dileep","The life of a male nurse Manu takes a turn when a doctor, a reality show contestant and a village girl fall in love with him. He must look for ways to untangle the cobwebs that form as a result.",Malayalam,India,https://m.media-amazon.com/images/M/MV5BMGUyMDM4ZTItMTJiMy00MDgwLTk3ZTctYjdhZjM3MmM5NzdmXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_SX300.jpg,,,,,
Still Mine,2012,PG-13,06 Jun 2013,102 min,Drama,Michael McGowan,"Michael McGowan, Marguerite Pigott","James Cromwell, Ronan Rees, Geneviève Bujold",An elderly couple fight against local authorities in rural New Brunswick to build their final home.,English,Canada,https://m.media-amazon.com/images/M/MV5BMjA3NjA5OTM4MF5BMl5BanBnXkFtZTcwMjQ0MTA3OQ@@._V1_SX300.jpg,,,,,
Under the Sea 3D,2009,G,13 Feb 2009,41 min,"Documentary, Short",Howard Hall,"Howard Hall, Toni Myers, Graeme Ferguson",Jim Carrey,"An underwater look at the diverse coastal regions of Southern Australia, New Guinea and the Indo-Pacific areas and the impact of global warming on the oceans.",English,"United States, Canada",https://m.media-amazon.com/images/M/MV5BNDI1NmNiNzktNmY5My00MDgwLWEwYjktYTI4YTZkZDQzZTdhXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,,,,,
Kai Po Che,2013,Not Rated,22 Feb 2013,120 min,"Drama, Sport",Abhishek Kapoor,"Chetan Bhagat, Abhishek Kapoor, Supratik Sen","Amit Sadh, Sushant Singh Rajput, Rajkummar Rao",Three friends growing up in India at the turn of the millennium set out to open a training academy to produce the country's next cricket stars.,Hindi,India,https://m.media-amazon.com/images/M/MV5BMTgwNTAwMjEzMF5BMl5BanBnXkFtZTcwNzMzODY4OA@@._V1_SX300.jpg,,,,,
Thanks for Sharing,2012,R,14 Sep 2013,112 min,"Comedy, Drama, Romance",Stuart Blumberg,"Stuart Blumberg, Matt Winston","Mark Ruffalo, Tim Robbins, Gwyneth Paltrow",A romantic comedy that brings together three disparate characters who are learning to face a challenging and often confusing world as they struggle together against a common demon: sex addiction.,English,United States,https://m.media-amazon.com/images/M/MV5BMjA5MzI3ODcxMF5BMl5BanBnXkFtZTcwODY5MTc4OQ@@._V1_SX300.jpg,,,,,
Special 26,2013,Not Rated,08 Feb 2013,144 min,"Crime, Drama, Thriller",Neeraj Pandey,Neeraj Pandey,"Akshay Kumar, Anupam Kher, Manoj Bajpayee",A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.,Hindi,India,https://m.media-amazon.com/images/M/MV5BMTQ1NDI5MjMzNF5BMl5BanBnXkFtZTcwMTc0MDQwOQ@@._V1_SX300.jpg,,,,,
What Maisie Knew,2012,R,03 May 2013,99 min,Drama,"Scott McGehee, David Siegel","Nancy Doyne, Carroll Cartwright, Henry James","Julianne Moore, Alexander Skarsgård, Steve Coogan","In New York City, a young girl is caught in the middle of her parents' bitter custody battle.",English,United States,https://m.media-amazon.com/images/M/MV5BMTY1MDk0MTIzN15BMl5BanBnXkFtZTcwNDM3NzkxOQ@@._V1_SX300.jpg,,,,,
Phantom,2013,R,01 Mar 2013,98 min,"Drama, History, Thriller",Todd Robinson,Todd Robinson,"Ed Harris, Julian Adams, David Duchovny","The haunted Captain of a Soviet submarine holds the fate of the world in his hands. Forced to leave his family behind, he is charged with leading a covert mission cloaked in mystery.",English,United States,https://m.media-amazon.com/images/M/MV5BNzcxNzg0MTU1M15BMl5BanBnXkFtZTcwODQ0NDcxOQ@@._V1_SX300.jpg,,,,,
Ginger,1971,R,01 Mar 1971,90 min,"Action, Crime, Drama",Don Schain,Don Schain,"Cheri Caffaro, Duane Tucker, Herbert Kerr",A rich society girl is recruited to go undercover and expose a drug/blackmail/prostitution ring in her small town.,English,United States,https://m.media-amazon.com/images/M/MV5BYTRiM2U2MGQtMDZhMi00NjljLWI5MGYtNmI0Nzk2YjM3NGQ4XkEyXkFqcGdeQXVyMjU5OTg5NDc@._V1_SX300.jpg,,,,,
Short Term 12,2013,R,23 Aug 2013,96 min,Drama,Destin Daniel Cretton,Destin Daniel Cretton,"Brie Larson, Frantz Turner, John Gallagher Jr.",A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.,"English, Spanish",United States,https://m.media-amazon.com/images/M/MV5BY2Q0YWUwZmYtMDhiNC00OTg5LWJkNDItOGI5MDYxZmQyODRmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjIxNDE0OTE@._V1_SX300.jpg,,,,,
From Up on Poppy Hill,2011,PG,16 Jul 2011,91 min,"Animation, Comedy, Drama",Gorô Miyazaki,"Tetsurô Sayama, Hayao Miyazaki, Keiko Niwa","Sarah Bolger, Chris Noth, Anton Yelchin",A group of Yokohama teens look to save their school's clubhouse from the wrecking ball in preparations for the 1964 Tokyo Olympics.,Japanese,Japan,https://m.media-amazon.com/images/M/MV5BZmFjMTYwODAtMTUzZi00NWUzLWIzMjUtYTNiZTE2MzNlMjNiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,,,,,
Lore,2012,Not Rated,20 Sep 2012,109 min,"Drama, Romance, War",Cate Shortland,"Cate Shortland, Robin Mukherjee, Rachel Seiffert","Saskia Rosendahl, Kai-Peter Malina, Nele Trebs","As the Allies sweep across Germany, Lore leads her siblings on a journey that exposes them to the truth of their parents' beliefs. An encounter with a mysterious refugee forces Lore to rely on a person she has always been taught t...","German, English, Russian","Australia, Germany, United Kingdom",https://m.media-amazon.com/images/M/MV5BMjMxMDA5MDUwNl5BMl5BanBnXkFtZTcwNTM1NjM5OA@@._V1_SX300.jpg,,,,,
The Great Beauty,2013,Not Rated,14 Mar 2014,141 min,Drama,Paolo Sorrentino,"Paolo Sorrentino, Umberto Contarello","Toni Servillo, Carlo Verdone, Sabrina Ferilli","Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisi...","Italian, Japanese, Spanish, Chinese","Italy, France",https://m.media-amazon.com/images/M/MV5BMWU5NmE2ZTUtYzhkMi00N2JmLWJhODgtM2NhNWU5ZWE5MTRlXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,,,,,
Red Dawn,2012,PG-13,21 Nov 2012,93 min,"Action, Drama",Dan Bradley,"Carl Ellsworth, Jeremy Passmore, Kevin Reynolds","Chris Hemsworth, Isabel Lucas, Josh Hutcherson",A group of teenagers look to save their town from an invasion of North Korean soldiers.,"English, Korean",United States,https://m.media-amazon.com/images/M/MV5BOGJkOWNjYmQtMjgzMi00NTUxLTk2M2MtZjJjMGZlZTgyZGI5XkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_SX300.jpg,,,,,
