Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Poster,Error,totalSeasons,code,message,data
Our Brand Is Crisis,2015,R,30 Oct 2015,107 min,"Comedy, Drama",David Gordon Green,"Rachel Boynton, Peter Straughan","Sandra Bullock, Billy Bob Thornton, Anthony Mackie","A battle-hardened American political consultant is sent to help re-elect a controversial president in Bolivia, where she must compete with a long-term rival working for another candidate.","English, Spanish",United States,https://m.media-amazon.com/images/M/MV5BMTg5MDUwMDQwM15BMl5BanBnXkFtZTgwNTczMjU3NjE@._V1_SX300.jpg,,,,,
Cocaine Cowboys,2006,R,23 Nov 2007,118 min,"Documentary, Crime, History",Billy Corben,N/A,"Jon Roberts, Al Sunshine, Sam Burstyn",The story of how Miami became the cocaine capital of the United States in the early 1980's and the police officers who turned the tide on crime.,English,United States,https://m.media-amazon.com/images/M/MV5BMTIzMjg0MTE0NV5BMl5BanBnXkFtZTcwNTEzMzkzMQ@@._V1_SX300.jpg,,,,,
,,,,,,,,,,,,,,,403.0,403 Forbidden,[]
Lonesome Jim,2005,R,16 Nov 2005,91 min,"Comedy, Drama",Steve Buscemi,Jim Strouse,"Casey Affleck, Liv Tyler, Mary Kay Place","Failing to make it on his own, twenty-seven-year-old Jim moves back in with his parents and deals with crippling family obligations.",English,United States,https://m.media-amazon.com/images/M/MV5BNzU1MzgxNDYzOV5BMl5BanBnXkFtZTgwODQ3MzA0MTI@._V1_SX300.jpg,,,,,
Three Times,2005,Not Rated,28 Oct 2005,120 min,"Drama, Romance",Hsiao-Hsien Hou,"T'ien-wen Chu, Hsiao-Hsien Hou","Shu Qi, Chang Chen, Fang Mei","Three stories set in three times, 1911, 1966 and 2005. Two actors play the two main characters in each story.","Mandarin, Min Nan","France, Taiwan",https://m.media-amazon.com/images/M/MV5BOTZhYThkMTAtYjk0Mi00OTg4LTljMzQtMWE1NTM3NjdkM2RjXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg,,,,,
The Bridge,2011–2018,TV-MA,21 Sep 2011,52S min,"Crime, Mystery, Thriller",N/A,N/A,"Sofia Helin, Rafael Pettersson, Sarah Boberg","When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find the killer.","Swedish, Danish","Sweden, Denmark, Germany",https://m.media-amazon.com/images/M/MV5BMjQ3MDAzNDU4NV5BMl5BanBnXkFtZTgwNjE2NDQ0NzE@._V1_SX300.jpg,,4,,,
Pyare Mohan,2006,Not Rated,21 Apr 2006,130 min,"Action, Comedy, Drama","Ravinddra Khare, Indra Kumar","Milap Zaveri, Tushar Hiranandani","Fardeen Khan, Vivek Oberoi, Esha Deol",A blind man Pyare and his deaf friend Mohan fall in love with twin sisters Preeti and Priya. But their relationships spiral into chaos when the sisters get falsely implicated in a murder case and the men have to find a way to save...,Hindi,India,https://m.media-amazon.com/images/M/MV5BNzlhYWU0MmEtN2Q0Zi00YTAwLWE4ZDAtOGYzNjc4ZGI2ZmU2XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,,,,,
The Great New Wonderful,2005,R,22 Apr 2005,88 min,"Comedy, Drama, Romance",Danny Leiner,Sam Catlin,"Maggie Gyllenhaal, Seth Gilliam, Jim Parsons",The Great New Wonderful weaves five stories against the backdrop of an anxious and uncertain post-9-11 New York City.,"English, Hindi, Italian",United States,https://m.media-amazon.com/images/M/MV5BMTcwNDY0ODQ2N15BMl5BanBnXkFtZTcwODAyMzMzMQ@@._V1_SX300.jpg,,,,,
Off the Black,2006,R,08 Dec 2006,90 min,Drama,James Ponsoldt,James Ponsoldt,"Nick Nolte, Trevor Morgan, Timothy Hutton","An aging, disillusioned alcoholic (Nolte) gets a younger friend (Morgan) and wants him to pose as his son at a school reunion.",English,United States,https://m.media-amazon.com/images/M/MV5BMjEyNDYwODk5NF5BMl5BanBnXkFtZTYwMjE3MjA3._V1_SX300.jpg,,,,,
Wild Duck Season,2006,N/A,N/A,19 min,"Short, Drama",Julia Ruszkiewicz,"Gina Berriault, Julia Ruszkiewicz","Michal Wlodarczyk, Kamil Grenda, Ewa Gorzelak",N/A,Polish,Poland,N/A,,,,,
Bubble,2005,R,27 Jan 2006,73 min,"Crime, Drama, Mystery",Steven Soderbergh,Coleman Hough,"Debbie Doebereiner, Omar Cowan, Dustin James Ashley","Set against the backdrop of a decaying Midwestern town, a murder becomes the focal point of three people who work in a doll factory.",English,United States,https://m.media-amazon.com/images/M/MV5BOWVmMTI2ODEtODJhNy00YTAxLWJkODgtZTZkNzAzNTZiMmExXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,,,,,
Haven,2010–2015,TV-PG,09 Jul 2010,60 min,"Crime, Drama, Fantasy",N/A,"Jim Dunn, Sam Ernst","Emily Rose, Lucas Bryant, Eric Balfour","Many in the coastal town of Haven, Maine have a dormant curse or ""trouble"" that could trigger at any time for any reason. FBI agent Audrey Parker, the sheriff and the town's black sheep must deal with the troubles' deadly effects.",English,"Canada, United States",https://m.media-amazon.com/images/M/MV5BMTk2MzM4MjA5Nl5BMl5BanBnXkFtZTcwNjk5Njk1Mw@@._V1_SX300.jpg,,5,,,
The Fallen Idol,1948,Approved,25 Oct 1948,95 min,"Drama, Film-Noir, Mystery",Carol Reed,"Graham Greene, Lesley Storm, William Templeton","Ralph Richardson, Michèle Morgan, Sonia Dresdel","A butler working in a foreign embassy in London falls under suspicion when his wife accidentally falls to her death, the only witness being an impressionable young boy.","English, French",United Kingdom,https://m.media-amazon.com/images/M/MV5BNzgzN2M4ZWQtNjNmNS00NzYyLThjMDgtNzQ0ZDU4MTZjMWZmXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,,,,,
Queens,2005,R,08 Apr 2005,107 min,"Comedy, Romance",Manuel Gómez Pereira,"Yolanda García Serrano, Manuel Gómez Pereira, Joaquín Oristrell","Marisa Paredes, Carmen Maura, Verónica Forqué",Five mothers cope with the drama that surrounds their gay sons at a mass wedding.,"Spanish, English","Spain, Netherlands, Italy",https://m.media-amazon.com/images/M/MV5BMjA4MjYxNDI2N15BMl5BanBnXkFtZTcwMDUyMjUzMQ@@._V1_SX300.jpg,,,,,
Bluff Master,2018,N/A,27 Dec 2018,138 min,"Crime, Thriller",Gopi Ganesh,"Pulagam Chinnarayana, Gopi Ganesh, H. Vinoth","Satyadev Kancharana, Nandita Shwetha, Mahesh Achanta","Ace conman Uttam effortlessly thinks up schemes to swindle gullible and greedy folks. However on a rare occasion, things don't go according to plan and he ends up in the clutches of a ruthless gang who demand schemes from him for ...",Telugu,India,https://m.media-amazon.com/images/M/MV5BMDYzMjAwNGUtMzEyZi00MzdmLTgzOWMtN2FjZjNkOTNhOWZiXkEyXkFqcGdeQXVyMjY0MDQ2ODM@._V1_SX300.jpg,,,,,
Typhoon,1940,Approved,17 May 1940,70 min,"Adventure, Romance",Louis King,"Steve Fisher, Leonard Lee, Allen Rivkin","Dorothy Lamour, Robert Preston, Lynne Overman","Having been marooned on an isolated island as a child, Dea grows to adulthood without human contact, her only companion being the chimp ""Koko."" Years later, on a South Sea island, Skipper Joe, a former bookie who has traded chasin...",English,United States,https://m.media-amazon.com/images/M/MV5BMTczMDExMzY0Ml5BMl5BanBnXkFtZTgwNjQyMjM0MzE@._V1_SX300.jpg,,,,,
Clean,2021,Not Rated,28 Jan 2022,94 min,"Action, Crime, Drama",Paul Solet,"Paul Solet, Adrien Brody","Adrien Brody, Glenn Fleshler, Richie Merritt","Tormented by his past, a garbage man named Clean attempts a quiet life of redemption. But, soon finds himself forced to reconcile with the violence of his past.",English,United States,https://m.media-amazon.com/images/M/MV5BZGZiODYxNDktMWIzZi00ZGMwLWI2NGYtYWYyMzU5MThmMzExXkEyXkFqcGdeQXVyMTE1MzI2NzIz._V1_SX300.jpg,,,,,
Stolen,2012,R,06 Sep 2012,96 min,"Action, Crime, Thriller",Simon West,David Guggenheim,"Nicolas Cage, Malin Akerman, Josh Lucas","A former thief frantically searches for his missing daughter, who has been kidnapped and locked in the trunk of a taxi.","English, Swedish",United States,https://m.media-amazon.com/images/M/MV5BMWI4ZmE4YjktYTg0OC00OGI1LTk5N2EtNzQ5MDA3YjIyOGNmXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_SX300.jpg,,,,,
Edmond,2005,R,24 Nov 2006,82 min,"Drama, Thriller",Stuart Gordon,David Mamet,"William H. Macy, Julia Stiles, Joe Mantegna",A fortune-teller's teasing rumination sends Edmond Burke lurching into New York City's hellish underworld.,English,United States,https://m.media-amazon.com/images/M/MV5BMTgzNDcxOTY0NF5BMl5BanBnXkFtZTcwNzUzNTQzMQ@@._V1_SX300.jpg,,,,,
Lower City,2005,R,02 Dec 2005,98 min,Drama,Sergio Machado,"Karim Aïnouz, Sergio Machado, Adriana Rattes","Alice Braga, Wagner Moura, Lázaro Ramos","Lifelong friends Deco and Naldinho, who own a small steaming boat in Bahia, meet strip-dancer Karinna. Both men fall for her and their friendship is deeply shattered.","Portuguese, Spanish, English","Brazil, United Kingdom",https://m.media-amazon.com/images/M/MV5BMjE5ODUxNDQ4NF5BMl5BanBnXkFtZTcwMjc4MzMzMQ@@._V1_SX300.jpg,,,,,
Game 6,2005,R,01 Jan 2005,87 min,"Comedy, Drama, Sport",Michael Hoffman,Don DeLillo,"Michael Keaton, Robert Downey Jr., Griffin Dunne","Combining real and fictional events, this movie centers around the historic 1986 World Series, and a day in the life of a playwright who skips opening night to watch the momentous game.","English, Mandarin, Hindi",United States,https://m.media-amazon.com/images/M/MV5BMTkwMTgwODMxMl5BMl5BanBnXkFtZTcwNDU0MjIzMQ@@._V1_SX300.jpg,,,,,
The Groomsmen,2006,R,22 Sep 2006,98 min,"Comedy, Drama, Music",Edward Burns,Edward Burns,"Edward Burns, Matthew Lillard, Brittany Murphy",A groom (Ed Burns) and his four attendants wrestle with issues related to friendship and maturity a week before the big day.,English,United States,https://m.media-amazon.com/images/M/MV5BMTcyOTUzNDA1M15BMl5BanBnXkFtZTcwMDIxNjQzMQ@@._V1_SX300.jpg,,,,,
Le petit lieutenant,2005,Unrated,16 Nov 2005,110 min,"Crime, Drama",Xavier Beauvois,"Xavier Beauvois, Guillaume Bréaud, Jean-Eric Troubat","Nathalie Baye, Jalil Lespert, Roschdy Zem",A rookie policeman from provincial Le Havre volunteers for the high pressure Parisian homicide bureau and is assigned to a middle-aged woman detective.,"French, Polish, Russian",France,https://m.media-amazon.com/images/M/MV5BOWUzYWUwYzctNTRjOS00MWMwLWJlMWQtMzdiZjdlNDM4MjRjXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,,,,,
Unknown White Male,2005,PG-13,01 Jan 2005,88 min,"Documentary, Biography",Rupert Murray,N/A,"Doug Bruce, Rupert Murray",The true story of Doug Bruce who woke up on Coney Island with total amnesia. This documentary follows him as he rediscovers himself and the world around him.,English,"United States, United Kingdom",https://m.media-amazon.com/images/M/MV5BMjE0NzU3NDI5NF5BMl5BanBnXkFtZTcwNTQxOTUzMQ@@._V1_SX300.jpg,,,,,
Nine Lives,2016,PG,05 Aug 2016,87 min,"Comedy, Drama, Family",Barry Sonnenfeld,"Gwyn Lurie, Matt Allen, Caleb Wilson","Kevin Spacey, Jennifer Garner, Robbie Amell",A stuffy businessman finds himself trapped inside the body of his family's cat.,English,"France, China, Canada",https://m.media-amazon.com/images/M/MV5BMzEzMjkwMjc3NV5BMl5BanBnXkFtZTgwMzc0NjY5ODE@._V1_SX300.jpg,,,,,
Come Early Morning,2006,R,31 Aug 2007,97 min,"Drama, Romance",Joey Lauren Adams,Joey Lauren Adams,"Ashley Judd, Jeffrey Donovan, Tim Blake Nelson","A thirty-something southern woman searches for love, despite the burdens she carries with her.",English,United States,https://m.media-amazon.com/images/M/MV5BMjEzMDc0NjI5Nl5BMl5BanBnXkFtZTcwOTExMjA0MQ@@._V1_SX300.jpg,,,,,
Time to Leave,2005,Unrated,30 Nov 2005,81 min,Drama,François Ozon,François Ozon,"Melvil Poupaud, Jeanne Moreau, Valeria Bruni Tedeschi","A fashion photographer with terminal cancer elects to die alone, preparing others to live past him rather than prolong the inevitable with chemotherapy or be smothered in sympathy by those who know him.","French, English, German",France,https://m.media-amazon.com/images/M/MV5BOGM2MmVkNDMtNTgxNS00MGYzLTkyYTgtMjc4ZmQxOWNkZDcxL2ltYWdlXkEyXkFqcGdeQXVyMjIyMDk1Nzg@._V1_SX300.jpg,,,,,
Sir! No Sir!,2005,Not Rated,24 Sep 2009,85 min,"Documentary, History, War",David Zeiger,David Zeiger,"Michael Alaimo, Edward Asner, Joe Bangert",NO! SIR! tells an almost entirely forgotten story of the military men and women who forced the U.S. government to end the Vietnam War,English,United States,https://m.media-amazon.com/images/M/MV5BMjA4NDAxNDA2NV5BMl5BanBnXkFtZTcwNDU4MjYzMQ@@._V1_SX300.jpg,,,,,
I Am a Sex Addict,2005,Not Rated,22 Apr 2005,98 min,"Biography, Comedy, Romance",Caveh Zahedi,Caveh Zahedi,"Caveh Zahedi, Christoff Colas, Rebecca Lord","Autobiographical comedy about a recovering sex addict, about his obsession with prostitutes, and how that affected his relationships and his life altogether.","English, French, German",United States,https://m.media-amazon.com/images/M/MV5BOTI5ODAyMDk2M15BMl5BanBnXkFtZTcwNzMwNzAzMQ@@._V1_SX300.jpg,,,,,
Venus,2006,R,16 Feb 2007,95 min,"Comedy, Drama, Romance",Roger Michell,Hanif Kureishi,"Peter O'Toole, Jodie Whittaker, Leslie Phillips",Life for a pair of veteran actors gets turned upside down after they meet a brash teenager.,English,United Kingdom,https://m.media-amazon.com/images/M/MV5BMTQ1ODQ4MDg0OV5BMl5BanBnXkFtZTcwOTk5NDQ0MQ@@._V1_SX300.jpg,,,,,
The Passenger,1975,PG,09 Apr 1975,126 min,"Drama, Thriller",Michelangelo Antonioni,"Mark Peploe, Enrico Sannia, Michelangelo Antonioni","Jack Nicholson, Maria Schneider, Jenny Runacre","Unable to find the war he's been asked to cover, a frustrated war correspondent takes the risky path of co-opting the identity of a dead arms-deal acquaintance.","English, Spanish, German, French","Italy, France, Spain",https://m.media-amazon.com/images/M/MV5BM2MyODc3OWEtYzRiYS00Yzc5LTliZjMtNTQ1NWFlMDRmZmVlL2ltYWdlXkEyXkFqcGdeQXVyNzM0MDQ1Mw@@._V1_SX300.jpg,,,,,
Winter Passing,2005,R,15 Jun 2006,98 min,"Comedy, Drama",Adam Rapp,Adam Rapp,"Ed Harris, Zooey Deschanel, Will Ferrell","An editor offers actress/bartender Reese $100,000 for her late mom's letters from her novelist dad. She heads home from NYC to get them and finds her dad living in the garage while two strangers live in the house.",English,United States,https://m.media-amazon.com/images/M/MV5BMTQzMzc2Njk1MV5BMl5BanBnXkFtZTcwODI3NDIzMQ@@._V1_SX300.jpg,,,,,
The Bridesmaid,2004,Not Rated,17 Nov 2004,111 min,"Thriller, Drama, Romance",Claude Chabrol,"Ruth Rendell, Pierre Leccia, Claude Chabrol","Benoît Magimel, Laura Smet, Aurore Clément",A hard-working young man meets and falls in love with his sister's bridesmaid. He soon finds out how disturbed she really is.,French,"France, Germany, Italy",https://m.media-amazon.com/images/M/MV5BY2I5ZDljZWMtNDIxMS00ZDFkLWFmYjgtNDA1YTVjNTYwNmU1XkEyXkFqcGdeQXVyMjQzMzQzODY@._V1_SX300.jpg,,,,,
Darwin's Nightmare,2004,N/A,21 Jan 2005,107 min,Documentary,Hubert Sauper,Hubert Sauper,"Elizabeth 'Eliza' Maganga Nsese, Raphael Tukiko Wagara, Dimond Remtulia","A documentary on the effect of fishing the Nile perch in Tanzania's Lake Victoria. The predatory fish, which has wiped out the native species, is sold in European supermarkets, while starving Tanzanian families have to make do wit...","English, Russian, Swahili","Austria, Belgium, France, Germany",https://m.media-amazon.com/images/M/MV5BMTk0NjY4NTI4MF5BMl5BanBnXkFtZTcwOTA0ODU0MQ@@._V1_SX300.jpg,,,,,
Shaadi Se Pehle,2006,Not Rated,07 Apr 2006,122 min,"Comedy, Musical, Romance",Satish Kaushik,"Sanjay Chhel, Satish Kaushik","Akshaye Khanna, Ayesha Takia, Mallika Sherawat","It was love at first sight for unemployed Ashish Khanna and Rani Bhalla at a cold drink stall. When Rani introduces Ashish to her businessman dad, Tau, and mom, they unanimously frown upon this alliance, until Ashish promises to g...",Hindi,India,https://m.media-amazon.com/images/M/MV5BNWI2YzUxM2UtZTJhYS00YTQwLThmZGEtMjJjYjBlNzYxYjY1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,,,,,
Captain Sabertooth and the Treasure of Lama Rama,2014,Not Rated,26 Sep 2014,96 min,"Action, Adventure, Comedy","John Andreas Andersen, Lisa Marie Gamlem","Terje Formoe, Lars Gudmestad","Tuva Novotny, Pia Tjelta, Jon Øigarden","The orphan boy Pinky follows the Captain on an exciting and dangerous journey across the big oceans to the kingdom of Lama Rama, hunting for a treasure and the answer to who is Pinky's father.",Norwegian,"Norway, United Kingdom",https://m.media-amazon.com/images/M/MV5BODkzOTYyMzMxNF5BMl5BanBnXkFtZTgwNTkxNzUxMjE@._V1_SX300.jpg,,,,,
Look Both Ways,2022,TV-14,17 Aug 2022,110 min,"Comedy, Drama, Romance",Wanuri Kahiu,April Prosser,"Lili Reinhart, Danny Ramirez, Aisha Dee","On the eve of her college graduation, Natalie's life diverges into parallel realities: one in which she becomes pregnant and remains in her hometown to raise her child and another in which she moves to LA to pursue her dream career.",English,United States,https://m.media-amazon.com/images/M/MV5BYmU5ZTU3MWUtMmExZi00YjIxLWIyOWUtZTliNjFjMTEzNDEzXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_SX300.jpg,,,,,
Al Franken: God Spoke,2006,N/A,30 Apr 2006,90 min,"Documentary, Comedy","Nick Doob, Chris Hegedus",N/A,"Al Franken, Franni Bryson, Katherine Lanpher",The makers of The War Room (1993) capture the emergence of Al Franken as a political commentator.,English,United States,https://m.media-amazon.com/images/M/MV5BMTM0MTk5NTcxOF5BMl5BanBnXkFtZTcwNzQ4OTI0MQ@@._V1_SX300.jpg,,,,,
Red Doors,2005,R,08 Sep 2006,90 min,Drama,Georgia Lee,Georgia Lee,"Tzi Ma, Jacqueline Kim, Elaine Kao","The Wongs struggle to cope with life, love, and family dysfunction in the suburbs of New York.",English,United States,https://m.media-amazon.com/images/M/MV5BOWU0ZTBkNzEtZWVjOC00ZDZjLThjZDUtYTJiNGM5OGU0ZDlmXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,,,,,
Summer Storm,2004,R,02 Sep 2004,98 min,"Comedy, Drama, Romance",Marco Kreuzpaintner,"Thomas Bahmann, Marco Kreuzpaintner","Robert Stadlober, Kostja Ullmann, Miriam Morgenstern",A close friendship between two crew teammates is tested when one slowly discovers he's gay and attracted to the other.,German,Germany,https://m.media-amazon.com/images/M/MV5BZGY2YTYzN2UtM2MzYy00MzIwLTg3NzQtZjE5ZmNiZDUxNjAwXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_SX300.jpg,,,,,
Somersault,2004,Not Rated,16 Sep 2004,106 min,"Drama, Romance",Cate Shortland,Cate Shortland,"Abbie Cornish, Sam Worthington, Lynette Curran","A young girl flees her hometown and arrives in the Australian Alps, where new experiences help her learn the differences between sex and love.",English,Australia,https://m.media-amazon.com/images/M/MV5BMTI2MzQzMjc5N15BMl5BanBnXkFtZTcwMjc4MjQzMQ@@._V1_SX300.jpg,,,,,
Mutual Appreciation,2005,R,04 May 2007,109 min,Comedy,Andrew Bujalski,Andrew Bujalski,"Justin Rice, Rachel Clift, Andrew Bujalski","Alan is a musician who leaves a busted-up band for New York, and a new musical voyage. He tries to stay focused and fends off all manner of distractions, including the attraction to his good friend's girlfriend.",English,United States,https://m.media-amazon.com/images/M/MV5BYzJjNzgzMGUtOWY1MS00NWEzLWJiYjEtMWI1Yjc0MTY0Y2Y0XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,,,,,
Wondrous Oblivion,2003,PG,23 Apr 2004,106 min,"Comedy, Drama, Family",Paul Morrison,Paul Morrison,"Sam Smith, Leagh Conwell, Dominic Barklem","Eleven-year-old David Wiseman is mad about cricket but no good at it. He has the entire kit but none of the skill. So when a Jamaican family moves in next door and builds a cricket net in the back garden, David is in seventh heaven.","English, Hebrew, Yiddish","United Kingdom, France, Germany",https://m.media-amazon.com/images/M/MV5BMTU3OTc4ODY0MV5BMl5BanBnXkFtZTcwMzQxMjgyMQ@@._V1_SX300.jpg,,,,,
Being Cyrus,2005,N/A,24 Mar 2006,90 min,"Drama, Thriller",Homi Adajania,"Homi Adajania, Kersi Khambatta","Naseeruddin Shah, Dimple Kapadia, Saif Ali Khan","""Being Cyrus"" is a dark, comedic venture by the debutante director Homi Adajania that spins around the Sethnas - a Parsi family.",English,India,https://m.media-amazon.com/images/M/MV5BMDc4ODY1ZWItMTMxMS00NzEwLWE1MzQtMTVjNDUxZDIwY2Q4XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,,,,,
America: Freedom to Fascism,2006,N/A,28 Jul 2006,95 min,Documentary,Aaron Russo,Aaron Russo,"Aaron Russo, John Turner, Joe Banister",A documentary that explores the connection between income tax collection and the erosion of civil liberties in America.,English,United States,https://m.media-amazon.com/images/M/MV5BMTQ3NzkxMzA4MF5BMl5BanBnXkFtZTcwODIzNTQzMQ@@._V1_SX300.jpg,,,,,
